,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
549,il-2,protein,p60568,nan,nan,nan,nan,nan,cd28,protein,p10747,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['pmc9939256', 'pmc4482147', 'pmc5022178', 'pmc9599749', 'pmc7851051', 'pmc7279007', 'pmc3382912', 'pmc7607631', 'pmc7973425', 'pmc9939256', 'pmc4482147', 'pmc5022178', 'pmc9599749', 'pmc7851051', 'pmc7279007', 'pmc3382912', 'pmc7607631', 'pmc7973425']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",18,10,1,1,181
548,il-2,protein,p60568,nan,nan,nan,nan,nan,cd25,protein,p01589,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc7775630', 'pmc7775630']","['nan', 'nan']",2,10,1,1,21
610,il2,protein,p60568,nan,nan,nan,nan,nan,cd28,protein,p10747,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc6732842', 'pmc6732842']","['nan', 'nan']",2,10,1,1,21
703,mammalian target of rapamycin,protein,p42345,nan,nan,nan,nan,nan,protein kinase b,protein,p31749,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc9496564', 'pmc9496564']","['nan', 'nan']",2,10,1,1,21
235,cd25,protein,p01589,nan,nan,nan,nan,nan,cd28,protein,p10747,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9895440'],['nan'],1,10,1,1,11
239,cd25,protein,p01589,nan,nan,nan,nan,nan,foxp3,protein,b7zlg1,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9522664'],['nan'],1,10,1,1,11
240,cd25,protein,p01589,nan,nan,nan,nan,nan,foxp3,protein,b7zlg1.t,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9522664'],['nan'],1,10,1,1,11
554,il-2,protein,p60568,nan,nan,nan,nan,nan,foxp3,protein,b7zlg1,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5808295'],['nan'],1,10,1,1,11
614,il2,protein,p60568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,foxp3,protein,b7zlg1,nan,nan,i,['nan'],['nan'],['pmc10083618'],['nan'],1,10,1,1,11
862,stat5a,protein,p42229,nan,nan,nan,nan,nan,il-2,protein,p60568,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8220804'],['nan'],1,10,1,1,11
