,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
551,il-2,protein,p60568,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['pmc7851051', 'pmc6174845', 'pmc7279007', 'pmc9315201', 'pmc4746098', 'pmc7851051', 'pmc6174845', 'pmc7279007', 'pmc9315201', 'pmc4746098']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",10,100,40,1,1040
253,cd28,protein,p10747,nan,nan,nan,nan,nan,cd19,protein,p15391,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan']","['pmc4482147', 'pmc7269815', 'pmc10010331', 'pmc9862812']","['nan', 'nan', 'nan', 'nan']",4,100,40,1,440
260,cd28,protein,p10747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pd-l1,protein,q9nzq7,nan,nan,i,"['nan', 'nan', 'nan']","['nan', 'nan', 'nan']","['pmc9141239', 'pmc10288912', 'pmc6558778']","['nan', 'nan', 'nan']",3,100,40,1,340
572,il-2,protein,p60568,nan,nan,nan,nan,nan,pd-l1,protein,q9nzq7,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan']","['nan', 'nan', 'nan']","['pmc7607631', 'pmc7607631', 'pmc9961031']","['nan', 'nan', 'nan']",3,100,40,1,340
351,cr,protein,p08174,nan,nan,nan,nan,nan,cd19,protein,p15391,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan']","['nan', 'nan', 'nan']","['pmc8939233', 'pmc7926700', 'pmc9862812']","['nan', 'nan', 'nan']",3,100,40,1,340
864,stat5a,protein,p42229,nan,nan,nan,nan,nan,il-7,protein,p13232,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc8220804', 'pmc8220804']","['nan', 'nan']",2,100,40,1,240
259,cd28,protein,p10747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc9793449', 'pmc9793449']","['nan', 'nan']",2,100,40,1,240
558,il-2,protein,p60568,nan,nan,nan,nan,nan,killer,protein,o14763,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc5893529', 'pmc5893529']","['nan', 'nan']",2,100,40,1,240
557,il-2,protein,p60568,nan,nan,nan,nan,nan,il-7,protein,p13232,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc8353356', 'pmc8353356']","['nan', 'nan']",2,100,40,1,240
254,cd28,protein,p10747,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc7851051', 'pmc7851051']","['nan', 'nan']",2,100,40,1,240
