sent-api1344-UAZ-r1-1289294-139,"Thus , B-Raf and mTOR are acknowledged targets for anti-proliferative therapy [ XREF_BIBR ] ."
sent-api1344-UAZ-r1-1289294-41,Western Blot Analysis .
sent-api1344-UAZ-r1-1289294-82,"The quantitation of the relative phosphorylation of ERK relative to total ERK is shown between the blots , demonstrating about a two-fold increase in phosphorylation ."
sent-api1344-UAZ-r1-1289294-119,"As an additional control , we treated VMM18 melanoma cells with U0126 , a MEK inhibitor , which blocked serum stimulated phosphorylation of both p70S6K and 4EBP1 ( Figure  XREF_FIG , lane 6 ) ."
sent-api1344-UAZ-r1-1289294-103,"The IC70 concentration for BAY43-9006 alone was in the range of approximately 5 to 10 nM , in different cell lines , and these were plotted on the abscissa ."
sent-api1344-UAZ-r1-1289294-31,More recent clinical application of rapamycin has been with coated stents to suppress the neo-intima formation during restenosis in response to balloon angioplasty [ XREF_BIBR ] .
sent-api1344-UAZ-r1-1289294-149,These data suggest that CCI-779 is not sufficiently active in melanoma as a single agent .
sent-api1344-UAZ-r1-1289294-167,"Rapamycin inhibited the FGF-2 induced proliferation of two different small cell lung cancer lines ( SCLC ) , whereas PD098059 inhibited one and not the other [ XREF_BIBR ] ."
sent-api1344-UAZ-r1-1289294-69,All of the research involving human subjects was approved by the University of Virginia 's IRB ( Human Investigation Committee ) in accordance with assurances filed with and approved by the Department of Health and Human Services .
sent-api1344-UAZ-r1-1289294-179,"Under these circumstances , combination therapy that inhibits different pathways may be especially effective ."
sent-api1344-UAZ-r1-1289294-134,New cancer treatments involve directly targeting enzymes essential for the growth and proliferation of cancer cells .
sent-api1344-UAZ-r1-1289294-15,"In human cancers , mutant oncogenes are frequently associated with disease progression [ XREF_BIBR ] ."
sent-api1344-UAZ-r1-1289294-75,"Cell proliferation was determined by the number of cells at 0 , 4 , 8 , 16 , 24 , 48 , and 72 hours , quantitated using the Cell Titer 96 Aqueous ( Promega Corporation , Madison , WI ) assay which measures reduction of MTS ( a novel tetrazolium compound ) ."
sent-api1344-UAZ-r1-1289294-172,"To our knowledge , the effects of combining inhibitors of these two pathways on proliferation of melanoma cells had not previously been examined ."
sent-api1344-UAZ-r1-1289294-160,"In every cell line examined , combination of BAY43-9006 and rapamycin produced synergistic inhibition of cell proliferation compared to either drug alone ."
sent-api1344-UAZ-r1-1289294-37,"Here we show that serum stimulated melanoma cell proliferation is inhibited by either rapamycin or BAY43-9006 , with B-Raf V599E mutants showing an increased sensitivity to each drug at 10 nM compared to melanoma cells with wild-type B-Raf ."
