Final Output:
ment-api1344-UAZ-r1-1289294-170-245168--->[ELEMENT:translation;  positive reg: ['ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-166-245158--->[ELEMENT:p70S6K;  positive reg: ['PKC'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-120-244773--->[ELEMENT:p70S6K;  positive reg: ['(Reg Node)phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-10-244749--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-120-244768--->[ELEMENT:4EBP1;  positive reg: ['(Reg Node)phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-163-245141--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-129-245080--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-160-245189--->[ELEMENT:cell proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-115-245218--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-96-244977--->[ELEMENT:proliferation;  positive reg: [];  negative reg: ['Rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-132-244775--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-130-244765--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-82-245097--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-131-244738--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
(Reg Node)FGF-2--->[ELEMENT:(Reg Node)FGF-2;  positive reg: [];  negative reg: ['Rapamycin'];  direct reg: ['FGF-2']]
ment-api1344-UAZ-r1-1289294-126-245070--->[ELEMENT:MEK;  positive reg: ['phosphorylation of MEK'];  negative reg: [];  direct reg: []]
(Reg Node)phosphorylation of MEK--->[ELEMENT:(Reg Node)phosphorylation of MEK;  positive reg: ['B-Raf kinase'];  negative reg: [];  direct reg: ['phosphorylation of MEK']]
ment-api1344-UAZ-r1-1289294-26-244885--->[ELEMENT:Ras;  positive reg: ['over-expressing growth factor receptors'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-116-245222--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-141-244807--->[ELEMENT:ERK;  positive reg: ['MEK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-109-244748--->[ELEMENT:p70S6K;  positive reg: ['(Reg Node)phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-24-244879--->[ELEMENT:ERK2;  positive reg: ['phosphorylation of ERK2'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-24-244746--->[ELEMENT:MEK2;  positive reg: ['(Reg Node)phosphorylation of MEK2'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-115-245219--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-119-245235--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-165-244742--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-166-245157--->[ELEMENT:mTOR;  positive reg: ['PKC'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-117-245225--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-37-244826--->[ELEMENT:cell proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-163-245145--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
(Reg Node)phosphorylation of ERK--->[ELEMENT:(Reg Node)phosphorylation of ERK;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: ['phosphorylation of ERK']]
ment-api1344-UAZ-r1-1289294-97-244980--->[ELEMENT:cell proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-118-245227--->[ELEMENT:mTOR;  positive reg: ['phosphorylation of mTOR'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-10-244857--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
