Element Name	Element Type	Database Name	Element Identifier	Location	Location Identifier	Cell Line	Cell Type	Organism	PosReg Name	PosReg Type	PosReg ID	PosReg Location	PosReg Location ID	NegReg Name	NegReg Type	NegReg ID	NegReg Location	NegReg Location ID	Interaction  Direct (D) or Indirect (I)	Mechanism Type for Direct	Paper ID	Evidence
GXMR-CAR	Other	uaz	UAZ47584D522D434152			cellosaurus:CVCL_0065								dasatinib	Chemical	3062316			I	NONE	PMC9653562	Moreover , 4-1BB , as a co-stimulatory domain , triggered a signal strength that was more pronounced in response to Cryptococcus spp. Further , dasatinib , an inhibitor of Src family kinases , attenuated GXMR-CAR signaling , indicating that Src family kinases are crucial in this pathway . ++++ GXMR-CAR tonic signaling was reduced by dasatinib in Jurkat cells that were transduced with an MOI of one and three using GXMR-8-BB ζ or GXMR-8-28 ζ constructs .
Cell Activation	Biological Process	go	GO:0001775			cellosaurus:CVCL_0065								Dasatinib	Chemical	3062316			I	NONE	PMC9653562	Dasatinib Attenuates the Effects of Cell Activation Induced by GXMR-CAR Even in the Presence of Cryptococcus spp ..
IL-2 production	Biological Process	go	GO:0032623			cellosaurus:CVCL_0065	cl:CL:0000084							Dasatinib	Chemical	3062316			I	NONE	PMC9653562	Dasatinib at several concentrations reduced IL-2 production by GXMR-8-BB ζ- and GXMR-8-28 ζ-Jurkat cells that were transduced at MOI 1 and MOI 3 ( Figure 4c , d ) , and the production of IL-2 triggered by GXMR-8-BB ζ and GXMR-8-28 ζ reached levels five- and fourfold lower in the presence of dasatinib ( Figure 4c , d ) .
Src family	Other	fplx	SRC			cellosaurus:CVCL_0065	cl:CL:0000084							dasatinib	Chemical	3062316			I	NONE	PMC9653562	To address the CAR signaling pathway responsible for GXMR-CAR tonic signaling , an inhibitor of Src family tyrosine kinases , dasatinib , was used to block the adenosine triphosphate ( ATP ) binding site of the lymphocyte specific protein tyrosine kinase ( LCK ) involved in CD3 ζ phosphorylation [ 29 ] , which has been shown to reduce cytokine production and exhaustion in CAR T cells [ 30 ] .
immune response	Biological Process	go	GO:0006955	Other	sl-0033 ++++ uniprot:sl-0431			uberon:UBERON:0000479 ++++ uberon:UBERON:0001017						polysaccharide	Chemical	CHEBI:18154	Other	sl-0033 ++++ uniprot:sl-0431	I	NONE	PMC9653562	The host immune response against Cryptococcus spp. is impaired by the polysaccharide capsule of yeast , which is considered to be the major virulence factor that subverts the development of adaptive immune response [ 17 ] .
titan	Chemical	pubchem	114942	Other	sl-0033	cellosaurus:CVCL_0065	cl:CL:0000084	uberon:UBERON:0000479						GXMR-CAR	Other	UAZ47584D522D434152	Other	sl-0033	I	NONE	PMC9653562	T cells expressing GXMR-CAR , when infused in mice infected with C. neoformans , reduced the frequency of titan cells in the pulmonary tissue [ 11 ] , and GXMR-CAR redirected T cells to recognize yeast and titan cell forms of C. gattii and C. neoformans [ 12 ] .
T-cell activation	Biological Process	go	GO:0042110	Other	sl-0033 ++++ uniprot:sl-0039	cellosaurus:CVCL_0065	cl:CL:0000084		ζ	Other	UAZCEB6	Other	sl-0033 ++++ uniprot:sl-0039						I	NONE	PMC9653562	In addition , GXMR-8-BB ζ and GXMR-8-28 ζ increased the signal activation strength in modified Jurkat cells in response to the ligand , whereas GXMR-IgG4-28 ζ did not mediate T-cell activation in the presence of the ligands . ++++ In addition , GXMR-8-BB ζ and GXMR-8-28 ζ increased the signal activation strength in modified Jurkat cells in response to the ligand , whereas GXMR-IgG4-28 ζ did not mediate T-cell activation in the presence of the ligands . ++++ In addition , GXMR-8-BB ζ and GXMR-8-28 ζ increased the signal activation strength in modified Jurkat cells in response to the ligand , whereas GXMR-IgG4-28 ζ did not mediate T-cell activation in the presence of the ligands .
cell activation	Biological Process	go	GO:0001775			cellosaurus:CVCL_0065	cl:CL:0000084	uberon:UBERON:0000479	ζ	Other	UAZCEB6								I	NONE	PMC9653562	Therefore , these factors have been studied in the context of GXMR-CAR , which has a great capacity to target Cryptococcus titan cells [ 12 ] , and in the current study , we evaluated the ability of GXMR-8-BB ζ and GXMR-8-28 ζ to mediate cell activation against clinical isolates of Cryptococcus spp. Jurkat cells were transduced with GXMR-8-BB ζ or GXMR-8-28 ζ using an MOI of three , and the modified cells were incubated with heat killed clinical isolates of C. neoformans or C. gattii . ++++ Therefore , these factors have been studied in the context of GXMR-CAR , which has a great capacity to target Cryptococcus titan cells [ 12 ] , and in the current study , we evaluated the ability of GXMR-8-BB ζ and GXMR-8-28 ζ to mediate cell activation against clinical isolates of Cryptococcus spp. Jurkat cells were transduced with GXMR-8-BB ζ or GXMR-8-28 ζ using an MOI of three , and the modified cells were incubated with heat killed clinical isolates of C. neoformans or C. gattii . ++++ Thus , the 4-1BB signaling domain favored cell activation triggered by GXMR-8-BB ζ and contributed to cellular resilience during cell expansion against Cryptococcus spp. yeast .
ATP	Chemical	pubchem	5957			cellosaurus:CVCL_0065	cl:CL:0000084		Src family	Other	SRC								I	NONE	PMC9653562	To address the CAR signaling pathway responsible for GXMR-CAR tonic signaling , an inhibitor of Src family tyrosine kinases , dasatinib , was used to block the adenosine triphosphate ( ATP ) binding site of the lymphocyte specific protein tyrosine kinase ( LCK ) involved in CD3 ζ phosphorylation [ 29 ] , which has been shown to reduce cytokine production and exhaustion in CAR T cells [ 30 ] . ++++ To address the CAR signaling pathway responsible for GXMR-CAR tonic signaling , an inhibitor of Src family tyrosine kinases , dasatinib , was used to block the adenosine triphosphate ( ATP ) binding site of the lymphocyte specific protein tyrosine kinase ( LCK ) involved in CD3 ζ phosphorylation [ 29 ] , which has been shown to reduce cytokine production and exhaustion in CAR T cells [ 30 ] .
IL-2	Protein	uniprot	P60568			cellosaurus:CVCL_0065	cl:CL:0000084		ζ	Other	UAZCEB6								I	NONE	PMC9653562	Dasatinib at several concentrations reduced IL-2 production by GXMR-8-BB ζ- and GXMR-8-28 ζ-Jurkat cells that were transduced at MOI 1 and MOI 3 ( Figure 4c , d ) , and the production of IL-2 triggered by GXMR-8-BB ζ and GXMR-8-28 ζ reached levels five- and fourfold lower in the presence of dasatinib ( Figure 4c , d ) . ++++ Dasatinib at several concentrations reduced IL-2 production by GXMR-8-BB ζ- and GXMR-8-28 ζ-Jurkat cells that were transduced at MOI 1 and MOI 3 ( Figure 4c , d ) , and the production of IL-2 triggered by GXMR-8-BB ζ and GXMR-8-28 ζ reached levels five- and fourfold lower in the presence of dasatinib ( Figure 4c , d ) .
